401,532,Premier Agencies - Muslimabad - Karachi,KARACHI,D1,username1,email1@gmail.com,password
401,2728,Premier Agencies - Korangi - KARACHI,KARACHI,D1,username2,email2@gmail.com,password
401,2729,Premier Agencies - FBAREA - KARACHI,KARACHI,D1,username3,email3@gmail.com,password
412,2694,Premier Agencies - Quetta,QUETTA,D1,username4,email4@gmail.com,password
405,2715,Premier Agencies - Hyderabad,HYDERABAD,D1,username5,email5@gmail.com,password
398,2754,Premier Agencies - Badin,Badin,D1,username6,email6@gmail.com,password
484,3635,Noorani Medicose - Thatta,Thatta,D3,username7,email7@gmail.com,password
449,164,Abdullah Medicos - Dadu,Dadu,D3,username8,email8@gmail.com,password
410,2716,Premier Agencies - Nawabshah,NAWABSHAH,D1,username9,email9@gmail.com,password
441,2906,Premier Agencies - NAUSHEROFEROZ,NAUSHEROFEROZ,D1,username10,email10@gmail.com,password
408,2719,Premier Agencies - Mirpurkhas,MIRPURKHAS,D1,username11,email11@gmail.com,password
403,2697,Premier Agencies - Umerkot,Umer Kot,D1,username12,email12@gmail.com,password
407,2723,Premier Agencies - Larkana,LARKANA,D1,username13,email13@gmail.com,password
413,2718,Premier Agencies - Sukkur,SUKKUR,D1,username14,email14@gmail.com,password
399,2770,Premier Agencies - Ghotki,Ghotki,D1,username15,email15@gmail.com,password
436,2776,Premier Agencies - Jacobabad,JACOBABAD,D1,username16,email16@gmail.com,password
14,42,Ahsan Traders,RAHIM YAR KHAN,D3,username17,email17@gmail.com,password
430,2781,Premier Agencies - RYK,RYK,D1,username18,email18@gmail.com,password
475,1881,New Rehman Medicine Company - Bahawalnagar,BAHAWALNAGAR,D3,username19,email19@gmail.com,password
450,2727,Premier Agencies - Bahawalpur,BAHAWALPUR,D1,username20,email20@gmail.com,password
460,2899,Premier Agencies - D.G.Khan,D.G.Khan,D1,username21,email21@gmail.com,password
437,337,Al Fateh Medicine Company,Burewala,D3,username22,email22@gmail.com,password
409,2708,Premier Agencies - Multan,MULTAN,D1,username23,email23@gmail.com,password
471,109,Sales Care Ali Pur,Ali Pur,D3,username24,email24@gmail.com,password
461,2798,Haris Phamra,Khanewal,D3,username25,email25@gmail.com,password
440,3455,Sultan Supplies Services - Layyah,Layyah,D3,username26,email26@gmail.com,password
439,553,PINCO PHARMACY,SAHIWAL,D3,username27,email27@gmail.com,password
360,2932,New Ali Hajvery Medicose,OKARA,D3,username28,email28@gmail.com,password
476,2625,Premier Agencies - Jhang,JHANG,D1,username29,email29@gmail.com,password
415,2707,Premier Agencies - Faisalabad,FAISALABAD,D1,username30,email30@gmail.com,password
406,2695,Premier Agencies - Lahore,LAHORE,D1,username31,email31@gmail.com,password
270,3445,New Muslim Traders,SHAIKHUPURA,D3,username32,email32@gmail.com,password
34,3280,Noor Traders,SIALKOT,D2,username33,email33@gmail.com,password
478,2785,Premier Agencies - Sialkot,SIALKOT,D1,username34,email34@gmail.com,password
404,2698,Premier Agencies - Gujranwala,GUJRANWALA,D1,username35,email35@gmail.com,password
474,3086,Zeenat Drug Agencies - Narowal,Narowal,D3,username36,email36@gmail.com,password
454,4469,YOUNAS SONS MEDICINE TRADERS,Mandi Bahauddin,D3,username37,email37@gmail.com,password
400,2766,Premier Agencies - Gujrat,GUJRAT,D1,username38,email38@gmail.com,password
402,2693,Premier Agencies - Sargodha,SARGODHA,D1,username39,email39@gmail.com,password
455,1373,HABIB MEDICINE COPMANY,MIANWALI,D3,username40,email40@gmail.com,password
373,1206,Zeeshan Enterprises,Chakwal,D3,username41,email41@gmail.com,password
414,2696,Premier Agencies - Islamabad,ISLAMABAD,D1,username42,email42@gmail.com,password
485,,Premier Agencies - Wah,Wah,D1,username43,email43@gmail.com,password
451,2705,Premier Agencies - Attock,ATTOCK,D1,username44,email44@gmail.com,password
434,2724,Premier Agencies - Abbottabad,ABBOTTABAD,D1,username45,email45@gmail.com,password
453,2809,Premier Agencies - Mansehra,Mansehra,D1,username46,email46@gmail.com,password
435,2714,Premier Agencies - Jhelum,JHELUM,D1,username47,email47@gmail.com,password
299,3871,Pharmanet Muzaffarabad (Ajk),MUZAFFARABAD (A.K) ,D2,username48,email48@gmail.com,password
359,1092,Atif Distributor,Mirpur- AJK,D3,username49,email49@gmail.com,password
442,3228,Nusrat Pharma,Kotli,D3,username50,email50@gmail.com,password
411,3996,Premier Agencies - Peshawar,PESHAWAR,D1,username51,email51@gmail.com,password
477,2774,Premier Agencies - Mardan,MARDAN,D1,username52,email52@gmail.com,password
354,2529,Moazam Traders Kohat,KOHAT,D3,username53,email53@gmail.com,password
462,2911,Premier Agencies - Swat,MINGORA SWAT,D1,username54,email54@gmail.com,password
470,4700,Pulse Care Traders,Nowshera,D3,username55,email55@gmail.com,password
447,1747,Buner Enterprises,Buner,D3,username56,email56@gmail.com,password
328,141,Amin Enterprises,TIMERGARA,D3,username57,email57@gmail.com,password
262,89,AZ Enterprises - Bannu,BANNU,D3,username58,email58@gmail.com,password
259,2539,Haroon Enterprises - DIK,D.I.KHAN,D2,username59,email59@gmail.com,password
389,3106,Shan Medicine Company,Gilgit,D3,username60,email60@gmail.com,password
388,1991,Al-Abbas Distributors,Skardu,D3,username61,email61@gmail.com,password
